ip_armies_size|Ordunun Büyüklüğü
ip_armies_size_text|Ordunuzun büyüklüğü, kralların orduları ile aynı şekilde, bir çok faktöre bağlıdır: ^^ Liderlik yeteneğiniz: her puan ordunuzun maksimum büyüklüğünü 5 artıracaktır.^^> Karizma: her puan ordunuzun maksimum büyüklüğünü 1 artıracaktır.^^> Nam: Her 9 puan ordunuzun maksimum büyüklüğünü 1 artıracaktır. Kişileri kendi davanıza çekmek sizin yeteneğinize bağlıdır. ^^> Hisseler: alacağınız her şehir ordunuza 80 adam ve her kale 40 adam verecektir. Bu adamlar sizi Lordları olarak kabul ederek size hizmet etmek zorundadırlar.
ip_morale|Moral
ip_morale_text|Birliklerin, savaşta yüzleşmek zorunda oldukları dayanıklılık, cesaret ve isteği toplama yeteneğine ve isteğine moral denir. Moral, birliklerin mutluluğuyla aynı şey değildir. Seçkin birlikler mücadelenin zorlukları hakkında ağlanıp sızlanabilirler, ama oklar havada uçuşmaya başladığında omuz omuza savaşacaklardır. Diğer yandan, adamlarına her istediklerini veren bir komutan, düşman saldırdığında fazlasıyla gevşediklerini ve savaştan kaçtıklarını fark edebilir. ^^Bir grubun üzerinde moralin en büyük etkisi savaşta ortaya çıkar; birliklerin düşmanla çarpıştıklarında ne kadar saldırgan olduğunu, veya yenilmekte olduklarını fark ettiklerinde ne kadar kolay kaçacaklarını belirler. Moral, birliğin yürüme hızını da etkiler: İsteksiz bir birlik; adamlar kendilerini zorlamadığı, daha sık durakladığı ve arkada kalanların yetişmesini beklediği için daha yavaş hareket edecektir. Son olarak, morali çok düşük olan bir birlik firarların acısını çekecektir. ^^ Morali etkileyen bazı etkenler sezgiseldir. Örneğin, kazandığı savaşlarla ünlü karizmatik bir komutan, adamlarına güven duygusu aşılayabilir. Adamlarına bol ve çeşitli yemekler sunan, paralarını zamanında ödeyen liderler, birliklerinin durumuyla ilgilendiklerini gösterir ve onları bir felakete sürükleme olasılığı daha azdır. ^^Diğer etkenler -- özellikle birliktekilerin hissettiği bağlılıkla ilgili olanlar -- bu denli sezgisel değildir. Örneğin sıkıca kaynaşmış küçük bir gruptaki adamlar omuz omuza savaştıkları liderlerinin gözünde korkak durumuna düşmemek için zorlu şartlarda dahi çetince savaşırlar. Diğer yandan; komutanın, adamlarına ayıracak, onların şikayetlerini dinleyip uyuşmazlıklarını çözecek daha az zamanının olduğu daha geniş bir birlikte ise bağlılık daha yapmacık görünebilir. Sıkça yapılan savaşlar adamlarınız arasındaki bağı kuvvetlendirirken, savaşsız geçen uzun aralıklar sonunda birlikler sıkılacak ve birbirleriyle didişeceklerdir. ^^ 'Raporlar' düğmesine tıklanarak ulaşılabilen moral raporu oyuncuya adamlarının moralini etkileyen etkenler hakkında bir fikir verir.
ip_economy|Ekonomi
ip_economy_text|Northlands'daki şehir ve kasabalar, halklarını sağlıklı ve üretken tutabilmek için çok çeşitli ürünlere gerek duyar. Bunlardan en önemlisi yiyeceklerdir. Northlands'in temel mahsülü tahıldır, fakat insanların etten, balıktan veya peynirden alacakları yağ ve proteine de gereksinimi vardır. Etin üretimi kadar saklanması da zordur, bu yüzden tuz da revaçtaki ürünlerdendir. Yemekten sonra giyim gelir; yani ağır yün, daha hafif olan keten, veya lüks kadife. Son olarak insanlar; demircilik, çömlekçilik,dericilik ve elbette silahlar,zırhlar ve savaş atları gibi işleri için alet edevata gerek duyar.^^Çoğu tarım ürünü köylerde üretilirken, şehirlerdeki esnaflar demircilik veya dokumacılık gibi imalat işlerinde uzmanlaşırlar. Aynı zamanda, ülkenin farklı kısımlarında farklı kaynaklar bulunabilir.Sonuç olarak, Northlands'in gönencine giden yol hem kasabalarla şehirler arasındaki, hem de büyük şehirlerin aralarındaki alışverişten geçer. ^^Ticaret devam ettikçe, ürünler daha kolay ve daha uygun fiyatlara bulunabilir hale gelir, bir merkezin halkı sağlıklı ve işlek hale gelir ve komşu bölgelerden göç akınları başlar. Merkez daha çok üretir, daha çok tüketir ve lordlarının vergilerine daha çok katkıda bulunabilir.  Ticaret azalırsa, kasabalar ve şehirlerdeki işçiler başka yerlerde çalışmaya gider ve ekonomik etkinlik durağanlaşır. Bu yüzden, yöneticiler ticaret yollarını savaştan ve haydutlardan korumalıdır. Yine de, kurnaz bir tüccar, fiyat dengelerinde oluşan farklardan faydalanarak kâr edebileceği, ülkenin geri kalanından yalıtılmış şehirleri aramak isteyebilir..^^Genellikle köylüler ürünlerini şehirlerdeki pazara götürmeyi planladıklarından, köy pazarları nispeten sessiz yerler olurlar, köylüler de ucuza alıp pahalıya satar. İşini ciddiye alan tüccarlar kâr yapmak için şehirlerde kalırken, bazı gruplar bir köye uğrayıp ürün tedarik edebilirler. ^^Bir bölgenin gönencini etkileyen etkenler hakkında bilgi almak isteyen bir oyuncu şehrin lonca başkanıyla konuşabilir. Oradan geçenler size çeşitli bilgiler sağlayabilse de, genelde kendi ticaretleri dışında pek bir şey bilmezler.
ip_courtship|Kur Yapmak
ip_courtship_text|Oyuncular Northlands'in soylu ailelerine mensup biriyle evlenmeyi isteyebilir. Evlilik, bir oyuncunun güçlenmesi veya isminin duyulması için gerekli değildir, ama oyuncuya, lordlarla ilişkisini güçlendirme ve tahta talip olma imkanı sağlar.^^Evlilik için gerekenler kadınlar ve erkekler için farklıdır. Bir erkek karakter genellikle geleneksel kur yapma yöntemlerini kullanmak zorundadır: Öncelikle Northlands'in asilleri arasında adını duyurması, gelinin ailesinin gözünde iyi bir izlenim bırakması ve gelinle bölgenin geleneklerine uygun bir şekilde evlenmesi gerekir. Sabırsız oyuncular kestirme yolları tercih edebilir -- ama bunun diğer lordlarla ilişkisini etkileyeceğini unutmamalıdır. ^^ Bir erkek karakter, diğer lordların da diyarın kadınlarını etkilemeye çalışacağını unutmamalıdır. Ayrıca bir kadının beğenileri tahmin edilemez, bu yüzden bir oyuncunun aşkı karşılıksız çıkabilir. Aşk, diğer her yerde olduğu gibi Northlands'da da her zaman kendisine yer bulamayabilir. Elbette oyuncu bir diğerinin yardımına başvurarak daha az centilmence bir tavırla bir bayanın aşkını kazanabilir, ama bu da itibarına leke düşürecektir. ^^ Kur yapma yolunda atılacak olan ilk adım, şölenlere ve turnuvalara katılarak Northlands asilzadelerinin sosyal yaşantısına karışmaktır. Ayrıca gezici ozanlar ve şairler de kur yapma üzerine önemli püf noktaları sunabilirken, oyuncuyu da son dedikodulardan haberdar eder. ^^ Kadın karakterler de evlenebilir -- fakat Northlandshalkının fazlasıyla gelenekçi olduğunu ve maceraperest bir kadının işini fazlasıyla zorlaştırabileceklerini unutmamaları gerekir. Bir kadın karakter kendisiyle evlenecek kadar açık fikirli bir lord bulana kadar arayışını sürdürebilir. ^^İşin iyi tarafı, bir kadın karakterin süslü kur yapma adetlerini yerine getirmek zorunda olmamasıdır; ve bir kadın evlilikten, eşinin sağladığından daha fazla yarar sağlayabilir. Maceracı bir kadın için evlilik güce giden kestirme yol olabilir -- hatta vicdansız bir karakter kocasını kendi politik hırsları için bir araç olarak kullanabilir.
ip_politics|Politika
ip_politics_text|Northlands'deki ülkeler her ne kadar farklı kültürleri temsil etseler de, hepsi aynı temel politik sisteme bağlıdır: derebeylik. Germen hiyerarşisinin en tepesinde kraliyet ailesinin üyelerinden oluşan soylu divan tarafından seçilen kral bulunur. Ülkenin tüm toprakları krala ait olup bu toprakları aristokrasi ve olağanüstü başarı gösteren savaşçılar arasında dağıtır. Ancak bu topraklar kişilerin mülkiyetine geçmezler ve kralın ya da kullanıcının ölümü durumunda tekrar hükümdara geri verilirler.  Her sancağı idare ve adalet sorumluluyla kralın adına yöneten soylular savaş alanı için asker ve vergi toplamaktan da sorumludur. Bu amaçla, onlar da kendi topraklarını, krallığın kırsal ekonomisinin omurgası sayılan özgür adamlar arasında daha küçük parsellere bölerler. Bu çiftçi ve toprak sahipleri derebeylerine kira ödeyebilir ya da o kişilere karşı askeri yapıları inşa etmek, haftanın birkaç günü ya da hasat zamanı onlar için çalışmak gibi bazı görevleri üstlenebilirler. ^^Bu sahiplik ilişkisi sistemi sadakat hiyerarşisi ve politik destek sağlayan soylular için de geçerlidir. Gitgide daha da güçlenen manastırlar ise kendi toprakları ve çalışanları ile özerk dini kurumlar haline gelmişlerdir. ^^Kelt milletlerinin (Galik,Galler halkı ve Pikler) belirgin bir özelliği işbirliğine, klanlaşmaya verdikleri önemdi. Birbirleriyle ilişkili geniş bir grup tahminen bağımsız bir sosyal ve yasal kuruluş görevi gören ortak bir atanın soyundan gelmekteydi. ^^Northlands'daki bir krallık başka bir krallıkla savaştığında, her krallığın politik birlikteliği, sonucu belirlemede en az asker sayısı ve ya kalitesi kadar önemlidir. Birleşik bir krallıkta, soylular da rakiplerinden önce davranıp onları temizlerlemek için geniş bir güçle birleşirler. Anlaşmazlıklar nedeniyle bölünen krallıklarda lordlar kumandanın toplanma emirlerini yerine getirmede başarısız olabilir, ya da mücadelesi iyi gitmiyorsa birliği bırakıp kendi yoluna gidebilir. Bir grubun politik bağı, gruplar ilerlemezken savaş durumunu da etkiler. Bölünmüş bir grupta, lordların baskınlara katılma, devriyeye çıkma ya da birbirlerinin savunmalarına destek olma olasılıkları düşüktür. ^^Eğer düşman saldırmak üzereyken soylular anlaşmazlık ve tartışma içinde kendilerini engelliyor görünüyorsa, o soylunun bağlılığının bir gruba ya da kültüre değil yalnızca kendine ve ailesine olduğunu aklınızdan çıkarmayın. Eğer bir soylu kendi birliğinin çökeceğinden korkuyorsa ya da emirleri görmezden geliniyorsa, genellikle bağlılık yeminini bozacak ve taraf değiştirecek bir sebep bulabilir. Bu yüzden oyuncular, eski düşmanların taraf değiştirerek müttefik olabileceği ihtimalini aklında bulundurmalıdır. 
ip_character_backgrounds|Karakter Geçmişleri
ip_character_backgrounds_text|Northlands'da bir oyuncu, karakteri için çeşitli sosyal sınıfların birinden gelmeyi seçebilir. Bu seçim oyuncunun başlangıçtaki yeteneklerinin ve ekipmanının yanısıra, maceracılık kariyerini de etkiler.^^ Northlands'de savaş ve politika geleneksel olarak erkek asilzadeler tarafından yönetilir. Soylu bir karakter bu gruba daha çabuk kabul edilebilirken, kadınlar veya halktan insanlar bu yolda fazladan güçlüklerle karşılaşabilirler. Eğer soylu bir erkek olarak oyuna başlamayı seçerseniz, bunu 'kolay' ayarı olarak görebilirsiniz. Yine de soylu bir kadın ya da bir şehirli bir erkek olarak başlamak daha zordur ve şehirli bir bayan olarak başlamak büyük olasılıkla oyuna başlamanın en zorlu yoludur. Ancak kadınların oyun başında bazı avantajları vardır. Bir kadın savaşçı sadece silahlanarak bile dikkatleri üzerine çekebilir, böylece bir erkek oyuncudan daha kısa sürede diyarda nam salabilir. Aynı zamanda, adetler gereği bir kadının üst sosyal sınıflardan biriyle evlenmesi daha kolaydır ve bir kadın karakter bir mantık evliliğinden daha kazançlı çıkabilir. ^^ Son olarak belirtmek gerekir ki oyun, karakterlerin geçmişine dayalı yükselişine bir sınır koymaz. Soylu veya halktan, erkek veya kadın, evli veya bekar - - yeterince cesur, şanslı ve becerikli olan herkes Northlands'in hükümdarlığına yükselebilir.
ip_military_campaigns|Askeri Harekatlar
ip_military_campaigns_text|Northlands'de krallıklar savaşa girdikleri zaman, ordularının saldırı için iki seçeneği vardır: Köylere saldırıp ve sayfiye yerleri yerle bir etmeye çalışabilirler, böylece düşmanlarının itibarına ve ekonomilerine zarar verirler. Ya da, şehirleri ve kaleleri fethedip ellerinde tutmaya çalışabilirler. Bu ikinci seçenek, uzun süren kanlı kuşatmalar gerektirebilir, fakat sonunda daha kesin kazançlar sağlar.^^ Northlands kralları savaş alanına, hükümdarın istediği kadar savaş alanında kalan düzenli ordular sürmez. Bunun yerine, Englaland'daki krallıklar, derebeylerinin soylu gruplarından ve kişisel maiyetlerinden oluşan birlikleri tarafından korunur. Bazen bu soylular kendi başlarına düşman topraklarına saldırsalar da, en kesin sonuçlar genelde büyük orduların birleştiği savaşlarda alınır. Kral tarafından görevlendirilmiş bir soylu olan krallık mareşali, savaş öncesinde orduyu savaşa çağıracak ve onları yönetecektir. Ancak, orduyu savaş alanında fazla tutmamaya dikkat etmek gerekir. Aksi takdirde, derebeylerinin kendilerine işlerine yönelmeleri sonucu ordu çözülmeye başlar ve bir karşı saldırıya karşı savunmasız kalabilir. ^^ Bu sebeple, Kalradya'da savaşların ritmi çoğunlukla iki savaşçının karşılıklı düellosundaki ritme benzer: Taraflardan biri gücünü arttıracak ve düşman topraklarına bir darbe indirmeye çalışacaktır. Eğer mareşal derebeylerini toplamak için yeterince uğraşmazsa düşmanlarına yeterince zarar veremeyebilir. Eğer bu iş için fazla vakit kaybederse sefer henüz başlamadan bitebilir. Büyük bir krallık küçüğünden üstündür, bu üstünlük kaslı bir savaşçının cılız bir düşman üzerindeki üstünlüğüne benzer; ancak krallığın politik yönden ne kadar birlik halinde olduğu da önemli bir etkendir, bu da kuvvetli bir savaşçının düşman karşısında dayanabilmesine benzetilebilir. Bazen iki krallığın orduları kafa kafaya gelir, böyle savaşların sonucu hem asker sayısı hem de askerlerin moralleri tarafından belirlenir. ^^Zaman zaman krallıkların düşmanları hakkında bildikleri yetersiz kalır. Savaş lordları, hangi kalelerin savunmasız olduğunu belirlemek için sık sık düşman topraklarını gözetleme gereksinimi duyar. Herhangi bir düşman harekatı halinde bu bilgiyi yayan tehlike işaretlerinin kalelerden ve şehirlerden yayılması, ordunun kendi yurdunu savunmasına oldukça yardımcı olacaktır. Yine de bu çeşit bilgiler, özellikle sayılar söz konusu olduğunda yetersiz kalacaktır. Bir kuşatmayı kaldırmak veya bir köyü kurtarmak için yola çıkan bir savunma ordusu, gerçekte hazırlıksız olan düşmanlarının sayısını abartabilir -- veya küçümsediği bir orduyu abartmış olması gerektiğini acı yoldan öğrenebilir. Buna karşılık saldıran taraf, düşman topraklarında ne kadar ilerlediklerine dikkat etmelidir; savaşçı mareşaller temkinli olanlardan daha ilerilere atılabilirler. ^^ Oyuncuların, orduya katılarak veya düşman topraklarında gözcülük yapmaya çalışarak gruplarının askeri seferlerine katılmaları beklenir. Bazı oyuncular krallıklarının mareşalini fazla temkinli veya saldırgan bulabilirler. Bu durumda diğer lordları mareşalin yerini almaları için kışkırtmaya çalışabilir, ya da kendileri mareşal olmak için destek toplayabilirler. ^^Çoğu savaşın süresi kısıtlıdır. Savaşa giden krallar, sadece kısa süre bir için kendilerini şeref adına anlaşmazlığın peşine düşmeye mecbur hisseder. Eğer düşmanı bozguna uğratmıyorlarsa, üçüncü bir grubun saldırısına karşı savunmasız kalmamak için anlaşmazlığı çözmenin bir yolunu aramaya başlayacaklardır. Northlands'in hükümdarları, bugünün dostlarının yarın düşman, düşmanlarının da dost olabileceğini gayet iyi bilirler .
ip_siege_warfare|Kuşatma Muharebesi
